name,start,end,fill,,
Scripps investigations,42887,43324,#17becf,6/1/17,8/12/18
CNBC,42095,42887,#1f77b4,4/1/15,6/1/17
CNNMoney,42036,42093,#ff7f0e,2/1/15,3/30/15
WSJ,41821,41944,#9467bd,7/1/14,11/1/14
Crains New York,41791,41850,#e377c2,6/1/14,7/30/14
CUNY,41456,42064,red,7/1/13,3/1/15
Record-Herald,41214,41487,blue,11/1/12,8/1/13
News-Sun,41122,41214,green,8/1/12,11/1/12
Clarion,40787,41122,orange,9/1/11,8/1/12
Chiang Mai Citylife,40603,40664,purple,3/1/11,5/1/11
